feature,importance
BorrowerAPR,0.13643616176900145
LoanOriginalAmount,0.11427656495757736
Term,0.0906725714768083
listing_year,0.08486024370318401
CurrentDelinquencies,0.06842976602320112
DebtToIncomeRatio,0.06733591615611699
CreditScoreRangeLower,0.06223045480846447
InquiriesLast6Months,0.05528331641427062
TotalTrades,0.04834779566567709
loan_origination_year,0.04828718065080673
credit_history_days,0.04479147823892024
BankcardUtilization,0.03940401366818066
listing_month,0.022782657832569008
credit_pull_to_origination_days,0.020720324358573728
loan_origination_month,0.017509421884068954
EstimatedLoss,0.013565397905321122
"IncomeRange=$100,000+",0.012776529425276231
IsBorrowerHomeowner=true,0.012626251940077689
"IncomeRange=$25,000-49,999",0.010548008313786942
"IncomeRange=$1-24,999",0.00764487059285255
DelinquenciesLast7Years,0.006313641290408836
"IncomeRange=$75,000-99,999",0.005309228171095431
ProsperScore,0.0040179216690269665
IncomeRange=Not employed,0.003943972871087495
IncomeRange=$0,0.001043325543801202
IncomeRange=Not displayed,0.0005190784188090687
"IncomeRange=$50,000-74,999",0.000323906251035755
IncomeRange=__unknown__,0.0
IsBorrowerHomeowner=false,0.0
IsBorrowerHomeowner=__unknown__,0.0
feature_30,0.0
feature_31,0.0
