feature,absolute_correlation,correlation_score_normalized,rf_importance,rf_importance_normalized,combined_score,selection_decision,rank
EstimatedLoss,0.826927717113369,1.0,0.574117723736343,1.0,1.0,KEEP,1
ProsperScore,0.5748547449257844,0.6951692790422863,0.1495542133805662,0.2604939844171181,0.4778316317297022,KEEP,2
CreditScoreRangeLower,0.42845334595118173,0.518126720249289,0.13609718602289358,0.23705449317463445,0.3775906067119617,KEEP,3
LoanOriginalAmount,0.3201421952668514,0.38714652882164907,0.03487170999972611,0.06073965069878342,0.22394308976021624,KEEP,4
BankcardUtilization,0.25221260212592644,0.3049995748193659,0.013604751606768484,0.02369679778953543,0.16434818630445067,KEEP,5
DelinquenciesLast7Years,0.16285926933108305,0.1969449880088559,0.00681619742553133,0.011872473438324978,0.10440873072359044,KEEP,6
CurrentDelinquencies,0.14772282113478005,0.17864054871742527,0.010617660877988157,0.018493874059293453,0.09856721138835936,KEEP,7
InquiriesLast6Months,0.14651076994135806,0.17717482061527262,0.004340868077807801,0.007560937240462717,0.09236787892786767,KEEP,8
listing_year,0.0688137992361491,0.08321622048945658,0.03051452154921932,0.053150286583440794,0.06818325353644869,KEEP,9
loan_origination_year,0.06627126501429571,0.08014154519531015,0.02988815689692313,0.05205928272412807,0.0661004139597191,KEEP,10
loan_origination_month,0.07295453036733472,0.0882235881776991,0.0005416658337243945,0.0009434751991268404,0.04458353168841297,KEEP,11
listing_month,0.058011936403724006,0.07015357594522469,0.0005151501344286454,0.0008972900733251396,0.03552543300927491,KEEP,12
DebtToIncomeRatio,0.049135594816862554,0.05941945565494478,0.0028133793262128475,0.004900352680114889,0.03215990416752983,KEEP,13
TotalTrades,0.03832336131064762,0.04634426990115463,3.2052291501571976e-05,5.5828778970585526e-05,0.023200049340062607,KEEP,14
credit_history_days,0.030304421295462482,0.036647001507276664,3.730051023351721e-05,6.497014234426778e-05,0.018355985824810465,KEEP,15
Term,0.009030225458936456,0.010920211370419505,0.0033181399192409354,0.005779546218581389,0.008349878794500446,KEEP,16
credit_pull_to_origination_days,0.005559632559612283,0.006723238856982316,0.000271076099226601,0.00047216117534648627,0.003597700016164401,KEEP,17
IncomeRange,0.0,0.0,0.001810414416295341,0.003153385344931022,0.001576692672465511,KEEP,18
IsBorrowerHomeowner,0.0,0.0,0.00023783189536903432,0.0004142563198035947,0.00020712815990179734,KEEP,19
