column,missing_count,missing_percent
TotalProsperLoans,91852,80.62
ProsperPaymentsLessThanOneMonthLate,91852,80.62
ProsperPaymentsOneMonthPlusLate,91852,80.62
EstimatedLoss,29084,25.53
ProsperScore,29084,25.53
DebtToIncomeRatio,8554,7.51
BankcardUtilization,7604,6.67
TotalTrades,7544,6.62
DelinquenciesLast7Years,990,0.87
FirstRecordedCreditLine,697,0.61
InquiriesLast6Months,697,0.61
CurrentDelinquencies,697,0.61
CreditScoreRangeLower,591,0.52
BorrowerAPR,25,0.02
ListingCreationDate,0,0.0
Term,0,0.0
LoanStatus,0,0.0
IsBorrowerHomeowner,0,0.0
DateCreditPulled,0,0.0
IncomeRange,0,0.0
LoanOriginalAmount,0,0.0
LoanOriginationDate,0,0.0
Investors,0,0.0
